parm,estimate,min90,max90,分类
T_4,-.0028591337768535,-.0182115597026758,.0124932921489687,乡村
T_3,.0028495709462498,-.0160991181672375,.021798260059737,乡村
T_2,.0008732915559581,-.0184802849953591,.0202268681072752,乡村
T0,-.0016209692649306,-.021909804000151,.0186678654702898,乡村
T1,-.0976534594618861,-.1473042437140105,-.0480026752097616,乡村
T2,-.0968428553235979,-.1408511855193418,-.0528345251278541,乡村
T3,-.1198756787761296,-.1583832619577083,-.081368095594551,乡村
T4,.0104648332711433,-.0078345955975556,.0287642621398423,乡村
T_1,0,0,0,乡村
T_4,-.0127435984923604,-.0580729063056787,.0325857093209579,城镇
T_3,-.0161879958642064,-.0730209325674525,.0406449408390397,城镇
T_2,-.0069916550438358,-.0657549418668113,.0517716317791396,城镇
T0,-.0520318341175944,-.1138247351607089,.0097610669255201,城镇
T1,-.0827852980865831,-.1743373716348123,.0087667754616461,城镇
T2,-.0627095730524274,-.1446911685531472,.0192720224482923,城镇
T3,-.1233298358325976,-.2073620572089697,-.0392976144562256,城镇
T4,-.0057728797600465,-.0522753113941095,.0407295518740164,城镇
T_1,0,0,0,城镇
