parm,estimate,min90,max90,分类
T_4,-.0365024688649589,-.0533053132652292,-.0196996244646887,全样本
T_3,-.0198758171825131,-.0323845560344455,-.0073670783305806,全样本
T_2,-.0090958275732642,-.0187804502343748,.0005887950878463,全样本
T0,-.0032559499336593,-.0128722463868622,.0063603465195435,全样本
T1,-.1015387103258459,-.1231025405024401,-.0799748801492517,全样本
T2,-.0946347915034348,-.1151490883389449,-.0741204946679247,全样本
T3,-.1027766768409813,-.1221907761013982,-.0833625775805644,全样本
T4,-.0992218334401739,-.118214425744841,-.0802292411355067,全样本
T5,-.1055659303575077,-.1241666563917392,-.0869652043232762,全样本
T6,-.1089247748121883,-.1273542689347943,-.0904952806895824,全样本
T7,-.0954461727471148,-.1100111591742494,-.0808811863199802,全样本
T8,-.0865729755153147,-.0934028245111202,-.0797431265195093,全样本
T_1,0,0,0,全样本
