parm,estimate,min90,max90,分类,受教育程度
T_4,-.0274112621535823,-.0567914982161697,.0019689739090051,高母职惩罚地区,平均受教育程度
T_3,-.0179711551844289,-.0372777054747082,.0013353951058504,高母职惩罚地区,平均受教育程度
T_2,-.0136624986440203,-.0310213431303889,.0036963458423484,高母职惩罚地区,平均受教育程度
T0,-.0121588600028769,-.0293513517243983,.0050336317186445,高母职惩罚地区,平均受教育程度
T1,-.0841113159124508,-.1237547435066559,-.0444678883182458,高母职惩罚地区,平均受教育程度
T2,-.0707750874816964,-.107914292041422,-.0336358829219709,高母职惩罚地区,平均受教育程度
T3,-.0727871734608454,-.1076784304066072,-.0378959165150837,高母职惩罚地区,平均受教育程度
T4,-.0875122722545853,-.121130095690891,-.0538944488182796,高母职惩罚地区,平均受教育程度
T5,-.0797931525636507,-.1129300423315012,-.0466562627958003,高母职惩罚地区,平均受教育程度
T6,-.0698031803696765,-.1021518578957508,-.0374545028436022,高母职惩罚地区,平均受教育程度
T7,-.0661915475838965,-.0930465019762572,-.0393365931915358,高母职惩罚地区,平均受教育程度
T8,-.0741483009606651,-.0865606472965889,-.0617359546247414,高母职惩罚地区,平均受教育程度
T_1,0,0,0,高母职惩罚地区,平均受教育程度
T_4,.0219050707037147,-.017005379677373,.0608155210848024,低母职惩罚地区,高受教育程度
T_3,.0294280610010166,.000829197469182,.0580269245328511,低母职惩罚地区,高受教育程度
T_2,.0091797302794207,-.0148045937256399,.0331640542844813,低母职惩罚地区,高受教育程度
T0,.0002377231559136,-.0236429216813888,.0241183679932161,低母职惩罚地区,高受教育程度
T1,.0107110408529681,-.038277497609734,.0596995793156702,低母职惩罚地区,高受教育程度
T2,.0442627942809486,-.0030429187217092,.0915685072836065,低母职惩罚地区,高受教育程度
T3,.0204557953413956,-.0246011602566526,.0655127509394438,低母职惩罚地区,高受教育程度
T4,.049682848481493,.0053696333187791,.0939960636442068,低母职惩罚地区,高受教育程度
T5,.035974334772979,-.0076080820242323,.0795567515701903,低母职惩罚地区,高受教育程度
T6,.0370194497886819,-.0054654335518396,.0795043331292034,低母职惩罚地区,高受教育程度
T7,.0396163543047142,.0054169230992508,.0738157855101775,低母职惩罚地区,高受教育程度
T8,.0178275290215591,.0006436824221841,.0350113756209341,低母职惩罚地区,高受教育程度
T_1,0,0,0,低母职惩罚地区,高受教育程度
T_4,-.0377276705608475,-.0640397294037655,-.0114156117179294,低母职惩罚地区,平均受教育程度
T_3,-.0304077209846463,-.0514208636240837,-.0093945783452088,低母职惩罚地区,平均受教育程度
T_2,-.0070174014989317,-.0205874886749202,.0065526856770568,低母职惩罚地区,平均受教育程度
T0,.0042284127740777,-.0092903376862242,.0177471632343795,低母职惩罚地区,平均受教育程度
T1,-.1068634257212095,-.13901773445569,-.0747091169867291,低母职惩罚地区,平均受教育程度
T2,-.1069297563538885,-.1378396573311476,-.0760198553766294,低母职惩罚地区,平均受教育程度
T3,-.1173937455267422,-.1467929204443957,-.0879945706090888,低母职惩罚地区,平均受教育程度
T4,-.1112031303284629,-.140141406226319,-.0822648544306068,低母职惩罚地区,平均受教育程度
T5,-.1205968859202508,-.1489895277448267,-.092204244095675,低母职惩罚地区,平均受教育程度
T6,-.1341344717072258,-.162469290354671,-.1057996530597805,低母职惩罚地区,平均受教育程度
T7,-.1230973069845275,-.1458024338619964,-.1003921801070586,低母职惩罚地区,平均受教育程度
T8,-.108336282864609,-.1178761247019953,-.0987964410272227,低母职惩罚地区,平均受教育程度
T_1,0,0,0,低母职惩罚地区,平均受教育程度
T_4,.0164366404347389,-.0402227416618485,.0730960225313264,高母职惩罚地区,高受教育程度
T_3,-.0008591046907991,-.0496570895217206,.0479388801401223,高母职惩罚地区,高受教育程度
T_2,-.0187332567929583,-.055686834710587,.0182203211246704,高母职惩罚地区,高受教育程度
T0,-.0101137923627596,-.0475782764355973,.0273506917100781,高母职惩罚地区,高受教育程度
T1,.0452827942808933,-.0250244403438288,.1155900289056153,高母职惩罚地区,高受教育程度
T2,.001285125283224,-.0663576053642941,.068927855930742,高母职惩罚地区,高受教育程度
T3,.0233810848791832,-.0434153812720702,.0901775510304367,高母职惩罚地区,高受教育程度
T4,.0289366404347388,-.0369163751319207,.0947896560013983,高母职惩罚地区,高受教育程度
T5,.0581033071014056,-.0073412091169043,.1235478233197154,高母职惩罚地区,高受教育程度
T6,.0100263840244825,-.0560455466287042,.0760983146776691,高母职惩罚地区,高受教育程度
T7,-.0036577995839603,-.0584343113674788,.0511187121995583,高母职惩罚地区,高受教育程度
T8,-.0161691542288557,-.0421005687007045,.0097622602429931,高母职惩罚地区,高受教育程度
T_1,0,0,0,高母职惩罚地区,高受教育程度
