parm,estimate,min90,max90,分类
T_4,-.0062454968259888,-.0254138181692724,.0129228245172949,乡村
T_3,.0006561751012001,-.0213872862722257,.0226996364746259,乡村
T_2,-.0054009323847616,-.0271534241689625,.0163515593994393,乡村
T0,-.2122635789538604,-.2349704972164216,-.1895566606912991,乡村
T1,-.1320333340913231,-.1537343421617683,-.1103323260208779,乡村
T2,-.0400398958985367,-.0620653974466818,-.0180143943503915,乡村
T3,-.028367979087783,-.0501204708719839,-.0066154873035821,乡村
o.T4,0,0,0,乡村
T_1,0,0,0,乡村
T_4,-.0174428954562668,-.0368086344823011,.0019228435697674,城镇
T_3,.0057435734517709,-.0167182648364291,.0282054117399708,城镇
T_2,.0066090200655058,-.0152599792828418,.0284780194138534,城镇
T0,-.1382326199751798,-.1610460297484684,-.1154192102018911,城镇
T1,-.0564347894474613,-.0783885201571694,-.0344810587377531,城镇
T2,-.0329559293827542,-.0554043308881786,-.0105075278773297,城镇
T3,-.0330867068962213,-.0549557062445689,-.0112177075478737,城镇
o.T4,0,0,0,城镇
T_1,0,0,0,城镇
