parm,estimate,min90,max90,分类
T_4,.0290123948911419,-.0087808848163237,.0668056745986074,一胎家庭
T_3,-.0081674777765624,-.044059415265184,.0277244597120592,一胎家庭
T_2,-.0176497459292335,-.0503746225757999,.015075130717333,一胎家庭
T0,-.0205547038835197,-.0541506650813547,.0130412573143152,一胎家庭
T1,-.0362553230191388,-.0761029060236248,.0035922599853472,一胎家庭
T2,-.0329215008476792,-.0726837151972814,.006840713501923,一胎家庭
T3,-.0336350371595499,-.0736144407498323,.0063443664307324,一胎家庭
T4,-.0236834097259161,-.0642535854211918,.0168867659693595,一胎家庭
T5,-.0143495683167933,-.0555816325238617,.0268824958902752,一胎家庭
T6,-.0235479559019067,-.0655731845566291,.0184772727528158,一胎家庭
T7,-.0424869284380817,-.0813142341340818,-.0036596227420816,一胎家庭
T8,-.0789399801587313,-.1028856453094088,-.0549943150080538,一胎家庭
T_1,0,0,0,一胎家庭
T_4,-.0365024688649589,-.0533053132652292,-.0196996244646887,全样本
T_3,-.0198758171825131,-.0323845560344455,-.0073670783305806,全样本
T_2,-.0090958275732642,-.0187804502343748,.0005887950878463,全样本
T0,-.0032559499336593,-.0128722463868622,.0063603465195435,全样本
T1,-.1015387103258459,-.1231025405024401,-.0799748801492517,全样本
T2,-.0946347915034348,-.1151490883389449,-.0741204946679247,全样本
T3,-.1027766768409813,-.1221907761013982,-.0833625775805644,全样本
T4,-.0992218334401739,-.118214425744841,-.0802292411355067,全样本
T5,-.1055659303575077,-.1241666563917392,-.0869652043232762,全样本
T6,-.1089247748121883,-.1273542689347943,-.0904952806895824,全样本
T7,-.0954461727471148,-.1100111591742494,-.0808811863199802,全样本
T8,-.0865729755153147,-.0934028245111202,-.0797431265195093,全样本
T_1,0,0,0,全样本
