parm,estimate,min90,max90,分类
T_4,.0151307264335256,-.0135101183314175,.0437715711984687,高受教育程度
T_3,.0172894053244585,-.0041497394951416,.0387285501440585,高受教育程度
T_2,.0047040011899452,-.0132424663344185,.022650468714309,高受教育程度
T0,-.0058847311522576,-.0238234054851739,.0120539431806587,高受教育程度
T1,.0151307264335271,-.0204763240754963,.0507377769425505,高受教育程度
T2,.0205419818447811,-.0135642739150373,.0546482376045994,高受教育程度
T3,.0127360904181997,-.0207873109809336,.0462594918173329,高受教育程度
T4,.0355555630348314,.0027046409670566,.0684064851026063,高受教育程度
T5,.0337710773107181,.0013375758284135,.0662045787930227,高受教育程度
T6,.0229244914215356,-.0088602725656399,.0547092554087111,高受教育程度
T7,.023660866035968,-.0020113603737212,.0493330924456571,高受教育程度
T8,.0077160493827164,-.0050511634885535,.0204832622539863,高受教育程度
T_1,0,0,0,高受教育程度
T_4,-.0365024688649589,-.0533053132652292,-.0196996244646887,低受教育程度
T_3,-.0198758171825131,-.0323845560344455,-.0073670783305806,低受教育程度
T_2,-.0090958275732642,-.0187804502343748,.0005887950878463,低受教育程度
T0,-.0032559499336593,-.0128722463868622,.0063603465195435,低受教育程度
T1,-.1015387103258459,-.1231025405024401,-.0799748801492517,低受教育程度
T2,-.0946347915034348,-.1151490883389449,-.0741204946679247,低受教育程度
T3,-.1027766768409813,-.1221907761013982,-.0833625775805644,低受教育程度
T4,-.0992218334401739,-.118214425744841,-.0802292411355067,低受教育程度
T5,-.1055659303575077,-.1241666563917392,-.0869652043232762,低受教育程度
T6,-.1089247748121883,-.1273542689347943,-.0904952806895824,低受教育程度
T7,-.0954461727471148,-.1100111591742494,-.0808811863199802,低受教育程度
T8,-.0865729755153147,-.0934028245111202,-.0797431265195093,低受教育程度
T_1,0,0,0,低受教育程度
